price,bedRoom,bathroom,balcony,floorNum,agePossession,Location,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category
100.0,3.0,4.0,3.0,8.0,New Property,sector 90,1,0,0,0,1560.0,Unfurnished,Luxurious
145.0,3.0,2.0,2.0,2.0,Old Property,sector 30,0,0,0,0,1300.0,Semi Furnished,Semi Luxurious
125.0,3.0,3.0,0.0,4.0,Relatively New,sector 89,0,0,0,0,1423.0,Unfurnished,Not Luxurious
450.0,5.0,5.0,3.0,11.0,New Property,sector 66,1,0,0,0,2936.0,Fully Furnished,Semi Luxurious
64.0,2.0,2.0,1.0,1.0,New Property,sector 15,0,0,0,0,800.0,Unfurnished,Not Luxurious
28.0,2.0,2.0,1.0,11.0,Relatively New,sohna,0,0,0,0,743.0,Unfurnished,Semi Luxurious
387.0,3.0,4.0,3.0,21.0,Under Construction,sector 61,1,0,0,0,1800.0,Unfurnished,Semi Luxurious
138.0,3.0,3.0,1.0,4.0,Moderately Old,sector 109,0,0,0,0,2612.4,Unfurnished,Semi Luxurious
43.0,2.0,2.0,1.0,2.0,Relatively New,sector 3,0,0,0,0,780.0,Unfurnished,Semi Luxurious
28.5,2.0,1.0,1.0,2.0,Relatively New,sector 110,0,0,0,0,1080.0,Fully Furnished,Semi Luxurious
110.0,2.0,2.0,2.0,4.0,Relatively New,sector 37,0,0,0,0,1341.6,Unfurnished,Not Luxurious
200.0,2.0,2.0,2.0,32.0,Relatively New,sector 65,0,0,0,0,1433.0,Unfurnished,Not Luxurious
90.0,3.0,2.0,2.0,2.0,Under Construction,sohna,0,0,0,0,896.0,Unfurnished,Luxurious
90.0,3.0,2.0,0.0,2.0,Under Construction,sohna,0,0,0,0,1120.0,Unfurnished,Not Luxurious
175.0,3.0,3.0,0.0,2.0,Relatively New,sohna,0,0,0,0,1996.0,Unfurnished,Not Luxurious
93.0,2.0,2.0,2.0,11.0,Relatively New,sector 68,0,0,0,0,1296.0,Unfurnished,Not Luxurious
180.0,4.0,4.0,3.0,23.0,Moderately Old,sector 90,0,0,0,0,2181.6,Unfurnished,Not Luxurious
210.0,3.0,3.0,2.0,6.0,Under Construction,sohna,0,0,0,0,1431.2,Unfurnished,Not Luxurious
200.0,2.0,2.0,2.0,9.0,Relatively New,sector 22,0,0,0,0,1656.0,Unfurnished,Semi Luxurious
200.0,3.0,3.0,2.0,1.0,Under Construction,sector 63,0,0,0,0,1540.0,Unfurnished,Semi Luxurious
