society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,Exhaust Fan,Fridge,Stove,Sofa,Wardrobe,Chimney,Curtains,Modular Kitchen,Dining Table,Bed,Geyser,Fan,Water Purifier,AC,Light,TV,Microwave,Washing Machine,furnishing_type
La Vida by Tata Housing,278.0,10334,3,4,3,5,North-East,Relatively New,3, Sector 113 Gurgaon,25,1,0,0,0,2170,2350,2690,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Mahindra Aura,225.0,9266,4,4,3,2,South-West,Relatively New,4, Sector 110 A Gurgaon,19,1,0,0,0,2050,2350,2428,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIPL The Peaceful Homes,254.99999999999997,11860,3,3,3,20,North-East,New Property,3, Sector 70A Gurgaon,30,1,0,1,0,,2000,2150,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,1,0,5,1,0,1,0,0,3,5,0,0,11,0,0,0,1
Vatika Gurgaon ,125.0,7812,4,4,3,12,South-West,Moderately Old,4, Sector 83 Gurgaon,14,1,0,0,0,1600,,2390,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,5,0,0,0,0
Vatika Gurgaon ,85,8947,2,2,2,18,West,Moderately Old,2, Sector 83 Gurgaon,19,0,0,1,0,950,1100,1245,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,2,1,0,1,0,0,2,2,0,0,6,0,0,0,1
Krrish Provence Estate,525.0,9051,4,5,3,2,North-East,New Property,4, Gwal Pahari,26,1,1,1,0,,,5800,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godrej Aria,130.0,9622,2,4,2,3,East,Relatively New,2, Sector 79 Gurgaon,15,0,0,0,0,,,1351,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,24,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sare Green ParC Phase ,75,7142,3,2,2,3,East,New Property,3, Sector 92 Gurgaon,19,0,0,0,0,1050,1298,1326,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireo Victory Valley,365.0,13528,3,4,3,18,North,Relatively New,3, Sector 67 Gurgaon,51,1,0,1,0,,2490,2698,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,1,0,1,0,0,0,6,0,6,5,0,0,0,1
DLF New Town Heights ,165.0,5683,4,4,3,7,South,Moderately Old,4, Sector 90 Gurgaon,27,0,0,0,0,,,2727,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLF New Town Heights ,125.0,6476,3,3,3,17,South-East,Relatively New,3, Sector 90 Gurgaon,19,1,0,1,0,1500,1700,1930,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLF New Town Heights ,142.0,4864,4,4,3,8,East,Moderately Old,4, Sector 90 Gurgaon,14,1,0,0,1,,,2364,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLF Regal Gardens,127.0,5499,3,3,3,2,South-West,Relatively New,3, Sector 90 Gurgaon,19,0,0,0,0,1400,1500,1755,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLF Regal Gardens,165.0,7449,4,4,3,8,East,Relatively New,4, Sector 90 Gurgaon,19,0,0,0,0,1700,1900,2215,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLF Regal Gardens,124.0,7065,3,3,3,9,South,Relatively New,3, Sector 90 Gurgaon,30,0,0,0,0,1400,1600,1755,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Close North,270.0,9980,3,3,3,3,South,Moderately Old,3, Nirvana Country,18,1,0,0,0,,,2605,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BPTP Terra,198.0,9036,3,3,3,12,North-East,New Property,3, Sector 37D Gurgaon,23,0,1,0,0,,,2191,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0,1,1,0,1,0,0,0,0,0,6,0,0,0,0,1
Experion Windchants,250.0,13888,2,2,3,10,East,Relatively New,2, Sector 112 Gurgaon,28,0,1,1,0,1800,1939.03,2441,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,1,0,0,2,4,0,4,4,0,0,0,1
Emaar MGF Emerald Floors Premier,229.0,13878,3,4,3,2,West,Relatively New,3, Sector 65 Gurgaon,5,1,1,0,0,1650,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
MM Merlin,298.0,14557,3,3,3,0,North,Relatively New,3, Sector 67 Gurgaon,21,0,0,0,0,,,2047,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0,1,0,5,1,8,1,0,0,4,5,0,5,16,0,0,0,1
Emaar Palm Gardens,135.0,12325,3,3,3,7,South-West,Relatively New,3, Sector 83 Gurgaon,16,1,0,0,0,1095.3,,1720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shri Banke Bihari Society,137.0,9133,3,3,3,2,North-East,Old Property,3, Sector 56 Gurgaon,9,0,0,0,0,1400,1450,1500,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiran Residency,155.0,7750,3,3,3,5,North,Old Property,3, Sector 56 Gurgaon,9,1,0,1,0,1700,1800,2000,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,53,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambience Lagoon,425.0,13281,3,4,3,3,North-East,Old Property,3, DLF Phase 3,9,1,0,1,0,3156,,3200,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,4,1,0,1,0,0,4,8,0,5,10,0,0,0,1
Vatika The Seven Lamps,128.0,6819,3,3,3,3,North,Relatively New,3, Sector 82 Gurgaon,16,0,1,0,0,1500,1800,1877,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,3,1,0,1,0,0,3,6,0,0,12,0,0,0,1
Shapoorji Pallonji Joyville Gurugram,195.0,17285,3,3,3,12,North-East,New Property,3, Sector 102 Gurgaon,26,0,0,0,1,1128.09,,1852,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Bestech Park View Grand Spa,235.0,8834,3,4,3,6,North-East,Relatively New,3, Sector 81 Gurgaon,19,1,0,0,0,2356,,2660,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,5,0,0,1,0,0,0,7,0,6,20,0,0,0,1
MM Golfestate,500.0,18518,3,3,3,28,North-East,Relatively New,3, Sector 65 Gurgaon,30,1,0,1,0,2700,2800,2979,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,1,0,3,1,1,1,0,0,4,6,0,4,8,0,0,0,1
Imperia The Esfera,99,5500,3,3,1,10,North-East,New Property,3, Sector 37C Gurgaon,24,1,0,0,0,,,1815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
DLF New Town Heights ,195.0,7150,4,4,3,24,North-East,Relatively New,4, Sector 90 Gurgaon,27,1,0,0,1,2200,,2727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Bestech Park View Grand Spa,330.0,12222,4,5,3,4,North-East,Relatively New,4, Sector 81 Gurgaon,20,1,1,0,0,2700,,3470,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,4,0,1,1,0,0,2,4,0,0,0,0,0,0,1
Ireo Victory Valley,475.0,13929,4,4,3,0,West,Relatively New,4, Sector 67 Gurgaon,51,1,1,1,1,3100,3200,3410,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0,1,0,3,1,1,1,0,0,3,10,0,4,15,0,0,0,1
MM Skywalk,150.0,12500,2,2,3,17,North-East,Relatively New,2, Sector 74 Gurgaon,30,0,0,0,1,1200,1300,1400,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLF New Town Heights ,154.0,6514,4,4,3,12,South-West,Moderately Old,4, Sector 90 Gurgaon,19,1,0,1,0,1850,2200,2364,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,3,0,1,1,0,0,0,5,0,0,7,0,0,0,1
DLF New Town Heights ,127.0,6580,3,4,3,19,South-West,Relatively New,3, Sector 86 Gurgaon,22,1,0,1,0,1450,1800,1930,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLF Regal Gardens,117.0,6708,3,3,3,15,North,Relatively New,3, Sector 90 Gurgaon,19,0,0,0,0,1290,1630,1744,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,3,1,1,1,0,0,2,6,0,5,6,0,0,0,1
DLF The Primus,180.0,13846,3,3,3,10,North-East,Relatively New,3, Sector 82A Gurgaon,32,1,0,0,0,1300,,1818,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,3,1,0,1,1,0,1,5,1,4,1,1,1,0,2
Ansal Housing Highland Park,80,5878,2,2,3,3,East,New Property,2, Sector 103 Gurgaon,19,0,0,1,0,705,1089,1361,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0
Bestech Park View City,176.0,9909,3,3,3,9,South,Moderately Old,3, Sector 48 Gurgaon,14,1,0,1,0,1476,1576,1776,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,3,0,1,1,0,0,4,7,0,0,13,0,0,0,1
Conscient Heritage Max,222.00000000000003,13875,3,4,3,15,East,Relatively New,3, Sector 102 Gurgaon,25,1,1,0,0,1600,2000,2149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,37,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0
DLF Regency Park ,124.0,12400,2,2,3,19,South,Moderately Old,2, DLF Phase 4,26,0,0,1,0,1000,1050,1150,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,2,1,0,1,0,0,3,6,0,0,10,0,0,0,1
Godrej ,112.00000000000001,7146,2,2,3,6,North-East,Relatively New,2, Sector 79 Gurgaon,15,0,1,0,0,1200,1325,1572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adani MK Oyster Grande,190.0,14074,3,4,3,21,,Relatively New,3, Sector 102 Gurgaon,24,1,0,0,0,1350,,1889,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,34,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DLF Regency Park ,135.0,11739,2,2,2,14,East,Old Property,2, DLF Phase 4,26,0,0,0,1,1050,1120,1150,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,33,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATS Kocoon,222.00000000000003,10596,3,3,3,20,East,Relatively New,3, Sector 109 Gurgaon,26,1,0,0,0,,,2095,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Experion The Heartsong,90,7014,2,3,3,7,East,Relatively New,2, Sector 108 Gurgaon,14,1,0,0,0,,,1283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
ATS Tourmaline,175.0,8139,3,4,3,2,North,Relatively New,3, Sector 109 Gurgaon,27,1,0,0,0,,,2150,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orris Aster Court,66.99,5825,2,2,2,5,North-West,Relatively New,2, Sector 85 Gurgaon,12,0,0,0,0,1150,1250,1375,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,2,1,1,1,0,0,1,4,0,0,15,0,0,0,1
Ireo Victory Valley,295.0,12110,3,3,3,14,South,Moderately Old,3, Sector 67 Gurgaon,51,1,0,1,0,2036,2236,2436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0,0,0,3,1,0,1,0,0,5,15,0,0,22,0,0,0,1
Pioneer Park,204.0,14623,3,3,3,16,South,Moderately Old,3, Sector 61 Gurgaon,32,1,0,0,0,1395,1595,1795,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,0,0,3,1,0,1,0,0,4,11,0,0,22,0,0,0,1
Alpha Corp GurgaonOne ,224.00000000000003,6523,4,4,3,12,West,Relatively New,4, Sector 84 Gurgaon,26,1,0,0,0,2900,,3434,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godrej Icon,131.0,8100,2,2,3,3,North-West,Relatively New,2, Sector 88A Gurgaon,32,0,1,0,0,,,1617,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emaar MGF Emerald Estate,170.0,21013,3,3,3,7,South-East,Relatively New,3, Sector 65 Gurgaon,12,0,1,0,0,809,,1395,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,0,0,3,5,0,0,10,0,0,0,1
Vatika Gurgaon ,119.0,7437,3,3,2,10,South,Relatively New,3, Sector 83 Gurgaon,18,1,0,0,0,1600,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,14,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,3,1,1,1,0,0,3,4,0,0,6,0,0,0,1
Emaar Palm Heights,175.0,11666,3,3,3,11,South-West,Relatively New,3, Sector 77 Gurgaon,24,1,0,0,0,1500,1900,2025,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,56,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatika Gurgaon ,112.00000000000001,6455,3,3,2,17,South,Moderately Old,3, Sector 83 Gurgaon,18,0,0,0,0,1400,1500,1735,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,3,0,0,1,0,0,1,5,0,0,6,0,0,0,1
Green Campus CHS,92,4022,3,3,3,8,East,Moderately Old,3, Sector 1A IMT Manesar,12,1,0,0,0,1600,,2287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Campus CHS,90,3935,3,3,3,6,North-East,Moderately Old,3, Sector 1A IMT Manesar,12,1,0,0,0,,,2287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puri Emerald Bay,229.99999999999997,9387,3,4,3,10,North-East,Moderately Old,3, Sector 104 Gurgaon,29,1,0,0,0,,,2450,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puri Emerald Bay,158.0,9117,2,3,3,11,North-East,Relatively New,2, Sector 104 Gurgaon,29,1,0,0,0,,,1700,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiabulls Enigma,425.0,10953,5,5,3,4,East,Relatively New,5, Sector 110 Gurgaon,15,1,0,0,0,,,3880,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bestech Park View Sanskruti,168.0,11052,3,4,3,15,East,Relatively New,3, Sector 92 Gurgaon,20,1,0,0,0,1520,,2120,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,5,1,0,1,0,0,3,5,0,5,15,0,0,0,1
Ireo Victory Valley,455.0,14536,4,4,3,19,South,Relatively New,4, Sector 67 Gurgaon,39,1,0,0,0,,,3130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0,1,0,4,1,1,1,0,0,4,6,0,5,15,0,0,0,1
