society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,Exhaust Fan,Fridge,Stove,Sofa,Wardrobe,Chimney,Curtains,Modular Kitchen,Dining Table,Bed,Geyser,Fan,Water Purifier,AC,Light,TV,Microwave,Washing Machine,furnishing_type
Shapoorji Pallonji Joyville Gurugram,190.0,10259,3,3,3,15,North-East,New Property,3, Sector 102 Gurgaon,26,0,0,1,0,1450,1700,1852,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,2,4,0,5,6,0,0,0,0
Bestech Park View Sanskruti,160.0,8020,3,4,3,10,North-West,Relatively New,3, Sector 92 Gurgaon,19,1,0,0,0,1476,1615,1995,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,3,1,4,1,0,0,3,6,0,5,15,0,0,0,1
Emaar MGF The Palm Drive,300.0,14285,4,5,3,10,East,Relatively New,4, Sector 66 Gurgaon,17,1,0,0,0,,,2100,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,4,1,0,1,0,0,5,7,1,6,25,0,0,0,1
Ireo The Grand Arch,220.00000000000003,16000,2,2,2,6,North-East,Relatively New,2, sector 58 Gurgaon,29,0,0,0,0,,,1375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,22,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Experion Windchants,520.0,10726,4,6,3,15,East,Relatively New,4, Sector 112 Gurgaon,28,1,0,1,0,3500,3655.35,4848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0,3,6,0,6,9,0,0,0,1
DLF Regency Park ,235.0,13224,3,4,3,8,South-East,Old Property,3, DLF Phase 4,20,1,0,0,0,1600,1700,1777,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0,3,1,0,1,0,0,3,5,0,4,9,0,0,0,1
Emaar MGF Emerald Floors Premier,277.0,14025,4,4,3,3,North-East,Relatively New,4, Sector 65 Gurgaon,5,1,1,0,0,1975,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
Emaar MGF Emerald Floors Premier,270.0,16363,3,3,3,5,North-West,Relatively New,3, Sector 65 Gurgaon,5,1,0,0,1,1650,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,3,1,1,1,0,0,3,4,0,6,12,0,0,0,1
Emaar MGF Emerald Floors Premier,235.0,14242,3,3,3,3,East,Relatively New,3, Sector 65 Gurgaon,5,1,1,0,0,1650,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,3,1,1,1,0,0,3,7,0,4,17,0,0,0,1
Emaar MGF Emerald Floors Premier,279.0,14126,4,4,3,2,South-West,Relatively New,4, Sector 65 Gurgaon,5,1,1,0,0,1975,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,3,1,1,1,1,3,2,3,1,2,2,4,1,0,2
Emaar MGF Emerald Floors Premier,229.99999999999997,13939,3,4,3,3,South-West,Relatively New,3, Sector 65 Gurgaon,5,1,1,1,1,1650,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2
The Lions CGHS,210.0,8750,3,4,3,8,West,Old Property,3, Sector 56 Gurgaon,9,0,0,0,0,2000,2200,2400,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,53,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,0,4,1,0,0,0,0,2,8,0,0,10,0,0,0,1
Rail Vihar CGHS,135.0,10384,3,2,2,1,West,Old Property,3, Sector 56 Gurgaon,4,0,0,0,0,1250,1275,1300,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,47,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
