price,bedRoom,bathroom,balcony,floorNum,agePossession,sector,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category,Latitude,Longitude
95.0,2.0,2.0,2.0,2.0,Relatively New,sector 81,0,0,0,0,1088.0,Unfurnished,Luxurious,28.3867° N, 76.9485° E
38.0,2.0,2.0,2.0,7.0,Relatively New,sector 93,0,0,0,0,713.8919999999999,Unfurnished,Not Luxurious,28.4153° N, 76.9326° E
110.0,3.0,3.0,3.0,12.0,Relatively New,sector 83,1,0,0,0,1388.0,Fully Furnished,Semi Luxurious,28.3986° N, 76.9647° E
155.0,3.0,4.0,3.0,16.0,Relatively New,sector 92,1,0,0,0,1596.0,Fully Furnished,Not Luxurious,28.4079° N, 76.9153° E
155.0,3.0,3.0,3.0,17.0,Relatively New,sector 92,1,0,0,0,1596.0,Fully Furnished,Not Luxurious,28.4079° N, 76.9153° E
200.0,4.0,5.0,3.0,12.0,Relatively New,sector 92,1,0,0,0,1980.0,Fully Furnished,Not Luxurious,28.4079° N, 76.9153° E
230.0,3.0,4.0,3.0,27.0,Relatively New,sector 81,1,0,0,0,1680.0,Fully Furnished,Semi Luxurious,28.3867° N, 76.9485° E
210.0,4.0,5.0,3.0,9.0,Relatively New,sector 85,0,0,0,0,2249.6,Fully Furnished,Semi Luxurious,28.4042° N, 76.9513° E
130.0,3.0,3.0,1.0,6.0,Relatively New,sector 83,0,0,0,0,2288.0,Unfurnished,Semi Luxurious,28.3986° N, 76.9647° E
40.0,2.0,2.0,1.0,12.0,Relatively New,sector 81,0,0,0,0,506.4,Fully Furnished,Semi Luxurious,28.3867° N, 76.9485° E
330.0,3.0,4.0,3.0,15.0,New Property,sector 72,1,0,0,0,1800.0,Semi Furnished,Luxurious,28.4225° N, 77.0211° E
110.0,2.0,2.0,2.0,0.0,New Property,sector 70,0,1,0,0,1040.0,Fully Furnished,Semi Luxurious,28.3968° N, 77.0233° E
120.0,2.0,2.0,3.0,9.0,Relatively New,sector 85,0,0,0,1,1417.6,Unfurnished,Luxurious,28.4042° N, 76.9513° E
215.0,4.0,5.0,3.0,6.0,Relatively New,sector 85,1,0,0,0,2249.6,Unfurnished,Luxurious,28.4042° N, 76.9513° E
200.0,3.0,4.0,3.0,5.0,Relatively New,sector 85,1,0,0,0,1926.4,Unfurnished,Luxurious,28.4042° N, 76.9513° E
210.0,3.0,4.0,3.0,6.0,Relatively New,sector 85,1,0,0,0,1926.4,Unfurnished,Luxurious,28.4042° N, 76.9513° E
120.0,2.0,2.0,3.0,2.0,Relatively New,sector 85,0,0,0,1,1312.0,Unfurnished,Luxurious,28.4042° N, 76.9513° E
130.0,2.0,2.0,3.0,16.0,Relatively New,sector 85,0,0,0,1,1336.8000000000002,Unfurnished,Luxurious,28.4042° N, 76.9513° E
130.0,2.0,2.0,3.0,10.0,Relatively New,sector 85,0,0,0,1,1417.6,Unfurnished,Luxurious,28.4042° N, 76.9513° E
120.0,2.0,2.0,3.0,14.0,Relatively New,sector 85,0,0,0,1,1312.0,Unfurnished,Luxurious,28.4042° N, 76.9513° E
110.0,2.0,2.0,3.0,3.0,Relatively New,sector 85,0,0,0,1,1392.8000000000002,Unfurnished,Luxurious,28.4042° N, 76.9513° E
125.0,2.0,2.0,3.0,17.0,Relatively New,sector 85,0,0,0,1,1392.8000000000002,Unfurnished,Luxurious,28.4042° N, 76.9513° E
115.0,2.0,2.0,3.0,18.0,Relatively New,sector 85,0,0,0,1,1312.0,Unfurnished,Luxurious,28.4042° N, 76.9513° E
175.0,3.0,4.0,3.0,20.0,Relatively New,sector 70,0,0,0,0,1706.0,Semi Furnished,Semi Luxurious,28.3968° N, 77.0233° E
165.0,3.0,5.0,3.0,6.0,Relatively New,sector 70,1,0,1,0,1560.0,Fully Furnished,Luxurious,28.3968° N, 77.0233° E
255.0,4.0,4.0,3.0,5.0,Relatively New,sector 104,1,0,0,0,1960.0,Fully Furnished,Semi Luxurious,28.4788° N, 76.9960° E
390.0,4.0,4.0,3.0,39.0,Relatively New,sector 72,1,0,0,0,2324.0,Fully Furnished,Semi Luxurious,28.4225° N, 77.0211° E
108.0,2.0,2.0,3.0,1.0,Relatively New,sector 68,0,0,0,0,1130.0,Fully Furnished,Luxurious,28.3853° N, 77.0484° E
180.0,3.0,3.0,3.0,18.0,Relatively New,sector 68,0,0,0,0,1845.0,Fully Furnished,Luxurious,28.3853° N, 77.0484° E
113.0,2.0,2.0,3.0,9.0,Relatively New,sector 68,0,0,0,0,1130.0,Fully Furnished,Luxurious,28.3853° N, 77.0484° E
